City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.31,72,8,4.62,TF,1691569726
1,thompson,55.7435,-97.8558,8.09,81,75,2.06,CA,1691569796
2,waitangi,-43.9535,-176.5597,9.34,84,90,4.02,NZ,1691569796
3,hirara,24.8,125.2833,29.15,84,75,4.63,JP,1691569796
4,sisimiut,66.9395,-53.6735,5.96,75,86,0.48,GL,1691569791
5,jamestown,42.097,-79.2353,18.73,100,100,3.6,US,1691569784
6,grytviken,-54.2811,-36.5092,-1.36,89,68,4.07,GS,1691569796
7,yerofey pavlovich,53.9667,121.9667,24.59,40,90,3.98,RU,1691569797
8,ushuaia,-54.8,-68.3,0.81,86,0,1.03,AR,1691569797
9,dalandzadgad,43.5708,104.425,32.04,21,94,8.11,MN,1691569797
10,souillac,-20.5167,57.5167,26.21,57,40,5.66,MU,1691569797
11,gornopravdinsk,60.05,69.9,21.13,57,100,4.88,RU,1691569797
12,avarua,-21.2078,-159.775,21.03,73,75,2.06,CK,1691569797
13,margaret river,-33.95,115.0667,14.63,57,24,2.66,AU,1691569734
14,ribeira grande,38.5167,-28.7,22.65,88,40,5.66,PT,1691569727
15,morehead city,34.7229,-76.726,26.11,85,0,2.06,US,1691569797
16,invercargill,-46.4,168.35,3.9,85,99,2.24,NZ,1691569798
17,bel ombre,-4.6167,55.4167,27.91,74,20,5.14,SC,1691569798
18,blackmans bay,-43.0167,147.3167,11.52,59,100,3.31,AU,1691569798
19,longyearbyen,78.2186,15.6401,8.91,76,0,4.63,SJ,1691569798
20,xichang,27.8964,102.2634,30.33,56,36,0.77,CN,1691569798
21,iqaluit,63.7506,-68.5145,4.83,93,100,5.14,CA,1691569798
22,oodweyne,9.4092,45.064,28.2,38,88,11.18,SO,1691569798
23,arraial do cabo,-22.9661,-42.0278,20.32,77,100,7.82,BR,1691569798
24,wotje,9.4543,170.2367,28.39,73,89,5.4,MH,1691569798
25,sinabang,2.4803,96.3801,29.2,64,100,1.85,ID,1691569799
26,yellowknife,62.456,-114.3525,15.29,67,100,3.6,CA,1691569737
27,puerto ayora,-0.7393,-90.3518,23.64,90,100,2.24,EC,1691569767
28,anzio,41.4853,12.6179,27.39,47,42,2.91,IT,1691569799
29,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,60,0,2.0,RU,1691569799
30,nemuro,43.3236,145.575,19.45,99,100,7.4,JP,1691569766
31,jinchang,38.4953,102.1739,34.84,28,21,7.38,CN,1691569799
32,mount isa,-20.7333,139.5,24.87,25,4,3.09,AU,1691569799
33,bethel,41.3712,-73.414,21.05,75,75,5.66,US,1691569799
34,meizhou,24.2977,116.1072,35.31,50,92,1.39,CN,1691569799
